,Attacks,RMSE with models,RMSE with perturbed models,Adversarial RMSE
LSTM,FGSM,0.21,0.3,0.29
,BIM,,0.27,0.26
,PGD,,0.28,0.3
Stacked LSTM,FGSM,0.22,0.32,0.28
,BIM,,0.29,0.29
,PGD,,0.29,0.28
GRU,FGSM,0.19,0.39,0.29
,BIM,,0.35,0.23
,PGD,,0.36,0.26
RNN,FGSM,0.19,0.38,0.29
,BIM,,0.34,0.27
,PGD,,0.35,0.28
CNN,FGSM,0.21,0.39,0.29
,BIM,,0.35,0.3
,PGD,,0.36,0.29
CNN-LSTM,FGSM,0.43,0.6,0.55
,BIM,,0.56,0.57
,PGD,,0.55,0.51
ConvLSTM,FGSM,0.19,0.36,0.3
,BIM,,0.32,0.27
,PGD,,0.34,0.3
